Make,Model,Logo,janv-12,Feb 2012,mars-12,Apr 2012,May 2012,juin-12,juil-12,Aug 2012,sept-12,oct-12,nov-12,Dec 2012,janv-13,Feb 2013,mars-13,Apr 2013,May 2013,juin-13,juil-13,Aug 2013,sept-13,oct-13,nov-13,Dec 2013,janv-14,Feb 2014,mars-14,Apr 2014,May 2014,juin-14,juil-14,Aug 2014,sept-14,oct-14,nov-14,Dec 2014,janv-15,Feb 2015,mars-15,Apr 2015,May 2015,juin-15,juil-15,Aug 2015,sept-15,oct-15,nov-15,Dec 2015,janv-16,Feb 2016,mars-16,Apr 2016,May 2016,juin-16,juil-16,Aug 2016,sept-16,oct-16,nov-16,Dec 2016,janv-17,Feb 2017,mars-17,Apr 2017,May 2017,juin-17,juil-17,Aug 2017,sept-17,oct-17,nov-17,Dec 2017,janv-18,Feb 2018,mars-18,Apr 2018,May 2018,juin-18,juil-18,Aug 2018,sept-18,oct-18,nov-18,Dec 2018,janv-19,Feb 2019,mars-19,Apr 2019,May 2019,juin-19,juil-19,Aug 2019,sept-19,oct-19,nov-19,Dec 2019,Model Year,City Range,Highway Range,Transmission Type,Engine Type,Engine Size,Engine Cylinder Count,Engine Description,Battery Type,Battery Voltage Amps,110v Charge Time,220v Charge Time,Manufacturer,Fuel Code,Fuel,Category
Nissan,Leaf,https://www.carlogos.org/logo/Nissan-logo-2013-1440x900.png,676.0,1154.0,1733.0,2103.0,2613.0,3148.0,3543.0,4228.0,5212.0,6791.0,8330.0,9819.0,10469.0,11122.0,13358.0,15295.0,17433.0,19658.0,21522.0,23942.0,25895.0,27897.0,29900.0,32429.0,33681.0,35106.0,37613.0,39701.0,42818.0,45165.0,48184.0,51370.0,54251.0,56840.0,59527.0,62629.0,63699.0,64897.0,66714.0,68267.0,70371.0,72445.0,73619.0,75012.0,76259.0,77497.0,78551.0,79898.0,80653.0,81583.0,82829.0,83616.0,84595.0,85691.0,86754.0,87820.0,89136.0,90548.0,92005.0,93904.0,94676.0,95713.0,97191.0,98254.0,99646.0,101152.0,102435.0,103589.0,104644.0,104857.0,105032.0,105134.0,105284.0,106179.0,107679.0,108850.0,110426.0,111793.0,112942.0,114257.0,115820.0,117054.0,118182.0,119849.0,120566.0,121220.0,122534.0,123485.0,"124,701","125,857","126,795","127,912","128,96","129,847","130,987","132,214",2016,,,Auto,SI,80 kW,,80 kW electric motor 24 kWh battery,,24 kWh,,,Nissan,ELEC,Electric,Sedan/Wagon
Nissan,Leaf,https://www.carlogos.org/logo/Nissan-logo-2013-1440x900.png,676.0,1154.0,1733.0,2103.0,2613.0,3148.0,3543.0,4228.0,5212.0,6791.0,8330.0,9819.0,10469.0,11122.0,13358.0,15295.0,17433.0,19658.0,21522.0,23942.0,25895.0,27897.0,29900.0,32429.0,33681.0,35106.0,37613.0,39701.0,42818.0,45165.0,48184.0,51370.0,54251.0,56840.0,59527.0,62629.0,63699.0,64897.0,66714.0,68267.0,70371.0,72445.0,73619.0,75012.0,76259.0,77497.0,78551.0,79898.0,80653.0,81583.0,82829.0,83616.0,84595.0,85691.0,86754.0,87820.0,89136.0,90548.0,92005.0,93904.0,94676.0,95713.0,97191.0,98254.0,99646.0,101152.0,102435.0,103589.0,104644.0,104857.0,105032.0,105134.0,105284.0,106179.0,107679.0,108850.0,110426.0,111793.0,112942.0,114257.0,115820.0,117054.0,118182.0,119849.0,120566.0,121220.0,122534.0,123485.0,"124,701","125,857","126,795","127,912","128,96","129,847","130,987","132,214",2015,,,Auto,e-motor,80 kW,,"80 kW electric motor, 24 kWh battery",,24 kWh,,,Nissan,ELEC,Electric,Sedan/Wagon
Nissan,Leaf,https://www.carlogos.org/logo/Nissan-logo-2013-1440x900.png,676.0,1154.0,1733.0,2103.0,2613.0,3148.0,3543.0,4228.0,5212.0,6791.0,8330.0,9819.0,10469.0,11122.0,13358.0,15295.0,17433.0,19658.0,21522.0,23942.0,25895.0,27897.0,29900.0,32429.0,33681.0,35106.0,37613.0,39701.0,42818.0,45165.0,48184.0,51370.0,54251.0,56840.0,59527.0,62629.0,63699.0,64897.0,66714.0,68267.0,70371.0,72445.0,73619.0,75012.0,76259.0,77497.0,78551.0,79898.0,80653.0,81583.0,82829.0,83616.0,84595.0,85691.0,86754.0,87820.0,89136.0,90548.0,92005.0,93904.0,94676.0,95713.0,97191.0,98254.0,99646.0,101152.0,102435.0,103589.0,104644.0,104857.0,105032.0,105134.0,105284.0,106179.0,107679.0,108850.0,110426.0,111793.0,112942.0,114257.0,115820.0,117054.0,118182.0,119849.0,120566.0,121220.0,122534.0,123485.0,"124,701","125,857","126,795","127,912","128,96","129,847","130,987","132,214",2014,,,Auto,,80,,80 kW electric motor,,24 kWh,,,Nissan,ELEC,Electric,Sedan/Wagon
Nissan,Leaf,https://www.carlogos.org/logo/Nissan-logo-2013-1440x900.png,676.0,1154.0,1733.0,2103.0,2613.0,3148.0,3543.0,4228.0,5212.0,6791.0,8330.0,9819.0,10469.0,11122.0,13358.0,15295.0,17433.0,19658.0,21522.0,23942.0,25895.0,27897.0,29900.0,32429.0,33681.0,35106.0,37613.0,39701.0,42818.0,45165.0,48184.0,51370.0,54251.0,56840.0,59527.0,62629.0,63699.0,64897.0,66714.0,68267.0,70371.0,72445.0,73619.0,75012.0,76259.0,77497.0,78551.0,79898.0,80653.0,81583.0,82829.0,83616.0,84595.0,85691.0,86754.0,87820.0,89136.0,90548.0,92005.0,93904.0,94676.0,95713.0,97191.0,98254.0,99646.0,101152.0,102435.0,103589.0,104644.0,104857.0,105032.0,105134.0,105284.0,106179.0,107679.0,108850.0,110426.0,111793.0,112942.0,114257.0,115820.0,117054.0,118182.0,119849.0,120566.0,121220.0,122534.0,123485.0,"124,701","125,857","126,795","127,912","128,96","129,847","130,987","132,214",2013,,,,,80 kW e-motor,,,24 kWh,,,,Nissan,ELEC,Electric,Sedan/Wagon
Nissan,Leaf,https://www.carlogos.org/logo/Nissan-logo-2013-1440x900.png,676.0,1154.0,1733.0,2103.0,2613.0,3148.0,3543.0,4228.0,5212.0,6791.0,8330.0,9819.0,10469.0,11122.0,13358.0,15295.0,17433.0,19658.0,21522.0,23942.0,25895.0,27897.0,29900.0,32429.0,33681.0,35106.0,37613.0,39701.0,42818.0,45165.0,48184.0,51370.0,54251.0,56840.0,59527.0,62629.0,63699.0,64897.0,66714.0,68267.0,70371.0,72445.0,73619.0,75012.0,76259.0,77497.0,78551.0,79898.0,80653.0,81583.0,82829.0,83616.0,84595.0,85691.0,86754.0,87820.0,89136.0,90548.0,92005.0,93904.0,94676.0,95713.0,97191.0,98254.0,99646.0,101152.0,102435.0,103589.0,104644.0,104857.0,105032.0,105134.0,105284.0,106179.0,107679.0,108850.0,110426.0,111793.0,112942.0,114257.0,115820.0,117054.0,118182.0,119849.0,120566.0,121220.0,122534.0,123485.0,"124,701","125,857","126,795","127,912","128,96","129,847","130,987","132,214",2012,100,,Automatic / 1 speed,80 kW e-motor,,,,Li-Ion,,,,Nissan,ELEC,Electric,Sedan/Wagon
Nissan,Leaf,https://www.carlogos.org/logo/Nissan-logo-2013-1440x900.png,676.0,1154.0,1733.0,2103.0,2613.0,3148.0,3543.0,4228.0,5212.0,6791.0,8330.0,9819.0,10469.0,11122.0,13358.0,15295.0,17433.0,19658.0,21522.0,23942.0,25895.0,27897.0,29900.0,32429.0,33681.0,35106.0,37613.0,39701.0,42818.0,45165.0,48184.0,51370.0,54251.0,56840.0,59527.0,62629.0,63699.0,64897.0,66714.0,68267.0,70371.0,72445.0,73619.0,75012.0,76259.0,77497.0,78551.0,79898.0,80653.0,81583.0,82829.0,83616.0,84595.0,85691.0,86754.0,87820.0,89136.0,90548.0,92005.0,93904.0,94676.0,95713.0,97191.0,98254.0,99646.0,101152.0,102435.0,103589.0,104644.0,104857.0,105032.0,105134.0,105284.0,106179.0,107679.0,108850.0,110426.0,111793.0,112942.0,114257.0,115820.0,117054.0,118182.0,119849.0,120566.0,121220.0,122534.0,123485.0,"124,701","125,857","126,795","127,912","128,96","129,847","130,987","132,214",2011,100,100,None,,,,,,,,,Nissan,ELEC,Electric,Sedan/Wagon
Tesla,Model S,https://www.carlogos.org/logo/Tesla-logo-2003-2500x2500.png,0.0,,,,,12.0,31.0,74.0,160.0,460.0,860.0,2650.0,3850.0,5250.0,7550.0,9650.0,11350.0,12700.0,14000.0,15300.0,16800.0,17600.0,18800.0,20300.0,21100.0,22189.0,23489.0,24589.0,25589.0,27089.0,27889.0,28489.0,30989.0,32289.0,33489.0,36989.0,38089.0,39239.0,41689.0,43389.0,45789.0,48589.0,50189.0,51489.0,53989.0,55889.0,58591.0,62191.0,63041.0,64591.0,68581.0,69381.0,70581.0,74281.0,76235.0,79087.0,83437.0,84137.0,85237.0,91087.0,91987.0,93737.0,97187.0,98312.0,99932.0,102282.0,103707.0,105857.0,110717.0,111837.0,113172.0,118147.0,118947.0,120072.0,123447.0,124697.0,126217.0,128967.0,130167.0,132792.0,136542.0,137892.0,140642.0,143892.0,144617.0,145242.0,147517.0,148342.0,"149,367","151,117","152,092","153,142","154,242","154,992","156,492","157,992",2017,,,Auto,SI,,,300 kW electric motor 60 kWh battery,,,,,Tesla,ELEC,Electric,Sedan/Wagon
Tesla,Model S,https://www.carlogos.org/logo/Tesla-logo-2003-2500x2500.png,0.0,,,,,12.0,31.0,74.0,160.0,460.0,860.0,2650.0,3850.0,5250.0,7550.0,9650.0,11350.0,12700.0,14000.0,15300.0,16800.0,17600.0,18800.0,20300.0,21100.0,22189.0,23489.0,24589.0,25589.0,27089.0,27889.0,28489.0,30989.0,32289.0,33489.0,36989.0,38089.0,39239.0,41689.0,43389.0,45789.0,48589.0,50189.0,51489.0,53989.0,55889.0,58591.0,62191.0,63041.0,64591.0,68581.0,69381.0,70581.0,74281.0,76235.0,79087.0,83437.0,84137.0,85237.0,91087.0,91987.0,93737.0,97187.0,98312.0,99932.0,102282.0,103707.0,105857.0,110717.0,111837.0,113172.0,118147.0,118947.0,120072.0,123447.0,124697.0,126217.0,128967.0,130167.0,132792.0,136542.0,137892.0,140642.0,143892.0,144617.0,145242.0,147517.0,148342.0,"149,367","151,117","152,092","153,142","154,242","154,992","156,492","157,992",2016,,,Auto,SI,285 kW,,285 kW electric motor 70 kWh battery,,70 kWh,,,Tesla,ELEC,Electric,Sedan/Wagon
Tesla,Model S,https://www.carlogos.org/logo/Tesla-logo-2003-2500x2500.png,0.0,,,,,12.0,31.0,74.0,160.0,460.0,860.0,2650.0,3850.0,5250.0,7550.0,9650.0,11350.0,12700.0,14000.0,15300.0,16800.0,17600.0,18800.0,20300.0,21100.0,22189.0,23489.0,24589.0,25589.0,27089.0,27889.0,28489.0,30989.0,32289.0,33489.0,36989.0,38089.0,39239.0,41689.0,43389.0,45789.0,48589.0,50189.0,51489.0,53989.0,55889.0,58591.0,62191.0,63041.0,64591.0,68581.0,69381.0,70581.0,74281.0,76235.0,79087.0,83437.0,84137.0,85237.0,91087.0,91987.0,93737.0,97187.0,98312.0,99932.0,102282.0,103707.0,105857.0,110717.0,111837.0,113172.0,118147.0,118947.0,120072.0,123447.0,124697.0,126217.0,128967.0,130167.0,132792.0,136542.0,137892.0,140642.0,143892.0,144617.0,145242.0,147517.0,148342.0,"149,367","151,117","152,092","153,142","154,242","154,992","156,492","157,992",2015,,,Auto,e-motor,300 kW,,"300 kW electric motor, 60 kWh battery",,60 kWh,,,Tesla,ELEC,Electric,Sedan/Wagon
Tesla,Model S,https://www.carlogos.org/logo/Tesla-logo-2003-2500x2500.png,0.0,,,,,12.0,31.0,74.0,160.0,460.0,860.0,2650.0,3850.0,5250.0,7550.0,9650.0,11350.0,12700.0,14000.0,15300.0,16800.0,17600.0,18800.0,20300.0,21100.0,22189.0,23489.0,24589.0,25589.0,27089.0,27889.0,28489.0,30989.0,32289.0,33489.0,36989.0,38089.0,39239.0,41689.0,43389.0,45789.0,48589.0,50189.0,51489.0,53989.0,55889.0,58591.0,62191.0,63041.0,64591.0,68581.0,69381.0,70581.0,74281.0,76235.0,79087.0,83437.0,84137.0,85237.0,91087.0,91987.0,93737.0,97187.0,98312.0,99932.0,102282.0,103707.0,105857.0,110717.0,111837.0,113172.0,118147.0,118947.0,120072.0,123447.0,124697.0,126217.0,128967.0,130167.0,132792.0,136542.0,137892.0,140642.0,143892.0,144617.0,145242.0,147517.0,148342.0,"149,367","151,117","152,092","153,142","154,242","154,992","156,492","157,992",2014,,,Auto,,300,,300 kW electric motor,,60 kWh,,,Tesla,ELEC,Electric,Sedan/Wagon
